Table with column headers in row 3,,,
"Table:  County SNAP benefits recipients
Source:  U.S. Census Bureau, Small Area Estimates Branch
Release Date:  December 2021",,,
State FIPS code,County FIPS code,Name,July 2013
13,165,"Jenkins County, GA"," 2,477 "
13,167,"Johnson County, GA"," 2,082 "
13,169,"Jones County, GA"," 4,573 "
13,171,"Lamar County, GA"," 3,974 "
13,173,"Lanier County, GA"," 2,431 "
13,175,"Laurens County, GA"," 14,328 "
13,177,"Lee County, GA"," 4,582 "
13,179,"Liberty County, GA"," 9,667 "
13,181,"Lincoln County, GA"," 1,493 "
13,183,"Long County, GA"," 3,051 "
13,185,"Lowndes County, GA"," 25,160 "
13,187,"Lumpkin County, GA"," 3,931 "
13,189,"McDuffie County, GA"," 6,363 "
13,191,"McIntosh County, GA"," 2,548 "
13,193,"Macon County, GA"," 3,039 "
13,195,"Madison County, GA"," 5,927 "
13,197,"Marion County, GA"," 1,880 "
13,199,"Meriwether County, GA"," 5,578 "
13,201,"Miller County, GA"," 1,421 "
13,205,"Mitchell County, GA"," 6,600 "
13,207,"Monroe County, GA"," 3,932 "
13,209,"Montgomery County, GA"," 1,741 "
13,211,"Morgan County, GA"," 3,194 "
13,213,"Murray County, GA"," 9,180 "
13,215,"Muscogee County, GA"," 48,238 "
13,217,"Newton County, GA"," 21,815 "
13,219,"Oconee County, GA"," 2,310 "
13,221,"Oglethorpe County, GA"," 1,841 "
13,223,"Paulding County, GA"," 18,164 "
13,225,"Peach County, GA"," 6,254 "
13,227,"Pickens County, GA"," 4,300 "
13,229,"Pierce County, GA"," 4,107 "
13,231,"Pike County, GA"," 2,710 "
13,233,"Polk County, GA"," 10,362 "
13,235,"Pulaski County, GA"," 1,986 "
13,237,"Putnam County, GA"," 4,293 "
13,239,"Quitman County, GA", 699 
13,241,"Rabun County, GA"," 2,160 "
13,243,"Randolph County, GA"," 1,972 "
13,245,"Richmond County, GA"," 54,671 "
13,247,"Rockdale County, GA"," 15,695 "
13,249,"Schley County, GA", 939 
13,251,"Screven County, GA"," 3,904 "
13,253,"Seminole County, GA"," 2,636 "
13,255,"Spalding County, GA"," 18,439 "
13,257,"Stephens County, GA"," 6,317 "
13,259,"Stewart County, GA"," 1,345 "
13,261,"Sumter County, GA"," 9,968 "
13,263,"Talbot County, GA"," 1,381 "
13,265,"Taliaferro County, GA", 636 
13,267,"Tattnall County, GA"," 4,412 "
13,269,"Taylor County, GA"," 1,792 "
13,271,"Telfair County, GA"," 2,633 "
13,273,"Terrell County, GA"," 3,183 "
13,275,"Thomas County, GA"," 11,925 "
13,277,"Tift County, GA"," 10,371 "
13,279,"Toombs County, GA"," 6,870 "
13,281,"Towns County, GA"," 1,186 "
13,283,"Treutlen County, GA"," 1,823 "
13,285,"Troup County, GA"," 15,290 "
13,287,"Turner County, GA"," 2,610 "
13,289,"Twiggs County, GA"," 2,242 "
13,291,"Union County, GA"," 2,869 "
13,293,"Upson County, GA"," 7,449 "
13,295,"Walker County, GA"," 11,551 "
13,297,"Walton County, GA"," 14,141 "
13,299,"Ware County, GA"," 9,572 "
13,301,"Warren County, GA"," 1,699 "
13,303,"Washington County, GA"," 5,426 "
13,305,"Wayne County, GA"," 10,428 "
13,307,"Webster County, GA", 581 
13,309,"Wheeler County, GA"," 1,360 "
13,311,"White County, GA"," 4,088 "
13,313,"Whitfield County, GA"," 17,070 "
13,315,"Wilcox County, GA"," 1,887 "
13,317,"Wilkes County, GA"," 2,662 "
13,319,"Wilkinson County, GA"," 2,373 "
13,321,"Worth County, GA"," 5,036 "
15,000,Hawaii," 180,243 "
15,001,"Hawaii County, HI"," 44,537 "
15,003,"Honolulu County, HI"," 104,105 "
15,005,"Kalawao County, HI",
15,007,"Kauai County, HI"," 9,472 "
15,009,"Maui County, HI"," 22,129 "
16,000,Idaho," 216,324 "
16,001,"Ada County, ID"," 44,860 "
16,003,"Adams County, ID", 422 
16,005,"Bannock County, ID"," 13,996 "
16,007,"Bear Lake County, ID", 492 
16,009,"Benewah County, ID"," 1,232 "
